Time(s),Force(N)
320.4,11.31609344
320.45,11.29821014
320.5,11.19856262
320.55,11.17812347
320.6,11.18579102
320.65,11.12957764
320.7,10.92006683
320.75,10.79743195
320.8,10.73355865
320.85,10.70545197
320.9,10.61602783
320.95,10.38096619
321,10.27110291
321.05,10.21744537
321.1,10.16123199
321.15,9.977272034
321.2,9.885292053
321.25,9.849525452
321.3,9.806091309
321.35,9.624687195
321.4,9.502044678
321.45,9.438171387
321.5,9.43561554
321.55,9.353858948
321.6,9.279762268
321.65,9.28742218
321.7,9.343635559
321.75,9.325752258
321.8,9.25932312
321.85,9.210777283
321.9,9.246543884
321.95,9.307868958
322,9.295089722
322.05,9.246543884
322.1,9.208221436
322.15,9.218437195
322.2,9.226104736
322.25,9.164787292
322.3,9.072807312
322.35,9.09324646
322.4,9.187782288
322.45,9.197998047
322.5,9.123908997
322.55,9.095802307
322.6,9.18522644
322.65,9.272094727
322.7,9.323196411
322.75,9.323196411
322.8,9.415176392
322.85,9.555702209
322.9,9.69367218
322.95,9.788208008
323,9.826530457
323.05,10.01815796
323.1,10.23277283
323.15,10.48827362
323.2,10.56492615
323.25,10.66201782
323.3,10.75144196
323.35,10.87663269
323.4,10.96861267
323.45,11.12702179
323.5,11.23433685
323.55,11.36719513
323.6,11.39530182
323.65,11.35952759
323.7,11.37486267
323.75,11.45917511
323.8,11.46684265
323.85,11.42085266
323.9,11.30332184
323.95,11.20878601
324,11.09381104
324.05,11.05548859
324.1,11.06059265
324.15,11.08358765
324.2,11.13468933
324.25,11.22155762
324.3,11.36975098
324.35,11.70956421
324.4,11.95484924
324.45,12.16435242
324.5,12.2333374
324.55,12.35597992
324.6,12.40452576
324.65,12.33042908
324.7,12.23589325
324.75,12.11581421
324.8,11.97273254
324.85,11.79132843
324.9,11.59458923
324.95,11.53838348
325,11.45150757
325.05,11.37997437
325.1,11.32631683
325.15,11.30332184
325.2,11.25222015
325.25,11.20878601
325.3,11.16279602
325.35,11.15768433
325.4,11.14746857
325.45,11.12957764
325.5,11.09892273
325.55,11.06826019
325.6,11.04782104
325.65,11.0452652
325.7,11.0452652
325.75,11.03504181
325.8,11.00694275
325.85,11.0043869
325.9,11.01460266
325.95,11.07081604
326,11.12447357
326.05,11.21134186
326.1,11.277771
326.15,11.40041351
326.2,11.4693985
326.25,11.53071594
326.3,11.57415009
326.35,11.65591431
326.4,11.7376709
326.45,11.86797333
326.5,11.92163086
326.55,11.9701767
326.6,11.99061584
326.65,12.03660583
326.7,12.10814667
326.75,12.24100494
326.8,12.33298492
326.85,12.42240906
326.9,12.50672913
326.95,12.49139404
327,12.33298492
327.05,12.16690826
327.1,11.83731842
327.15,11.55882263
327.2,11.15512848
327.25,10.9865036
327.3,10.90473938
327.35,10.87918854
327.4,10.82553864
327.45,10.80254364
327.5,10.79232025
327.55,10.81787109
327.6,10.99927521
327.65,11.19090271
327.7,11.40041351
327.75,11.46173096
327.8,11.59203339
327.85,11.78877258
327.9,11.98806
327.95,12.01872253
328,11.85264587
328.05,11.58437347
328.1,11.42851257
328.15,11.22666931
328.2,11.18579102
328.25,11.18323517
328.3,11.13724518
328.35,10.97883606
328.4,10.85874939
328.45,10.76676941
328.5,10.73355865
328.55,10.61858368
328.6,10.51638031
328.65,10.40140533
328.7,10.37585449
328.75,10.30686951
328.8,10.18678284
328.85,10.05648041
328.9,9.984939575
328.95,10.00793457
329,9.992607117
329.05,9.923622131
329.1,9.826530457
329.15,9.818862915
329.2,9.829086304
329.25,9.793312073
329.3,9.691116333
329.35,9.657897949
329.4,9.634902954
329.45,9.558258057
329.5,9.348747253
329.55,9.236328125
329.6,9.187782288
329.65,9.164787292
329.7,9.054924011
329.75,8.983383179
329.8,8.962944031
329.85,8.988487244
329.9,8.965492249
329.95,8.860740662
330,8.804527283
330.05,8.830078125
330.1,8.868408203
330.15,8.827522278
330.2,8.771316528
330.25,8.745765686
330.3,8.771316528
330.35,8.794311523
330.4,8.771316528
330.45,8.789199829
330.5,8.865852356
330.55,9.021705627
330.6,9.080467224
330.65,9.077919006
330.7,9.090690613
330.75,9.226104736
330.8,9.343635559
330.85,9.417732239
330.9,9.463722229
330.95,9.540367126
331,9.729438782
331.05,9.818862915
331.1,9.829086304
331.15,9.84185791
331.2,10.03859711
331.25,10.24810791
331.3,10.47550201
331.35,10.53170776
331.4,10.61858368
331.45,10.74888611
331.5,10.94561768
331.55,10.99671936
331.6,11.03759766
331.65,11.10658264
331.7,11.28288269
331.75,11.35442352
331.8,11.32376099
331.85,11.2905426
331.9,11.33398438
331.95,11.50772095
332,11.58947754
332.05,11.59458923
332.1,11.56137848
332.15,11.59970093
332.2,11.66868591
332.25,11.67379761
332.3,11.59203339
332.35,11.4872818
332.4,11.48472595
332.45,11.51283264
332.5,11.42596436
332.55,11.18834686
332.6,11.0810318
332.65,11.07337189
332.7,11.08614349
332.75,10.97372437
332.8,10.87918854
332.85,10.83319855
332.9,10.84342194
332.95,10.8306427
333,10.71056366
333.05,10.61091614
333.1,10.55214691
333.15,10.55470276
333.2,10.49338531
333.25,10.36052704
333.3,10.16123199
333.35,10.11013794
333.4,10.0845871
333.45,10.02581787
333.5,9.885292053
333.55,9.834197998
333.6,9.836753845
333.65,9.821418762
333.7,9.680892944
333.75,9.571029663
333.8,9.507156372
333.85,9.519927979
333.9,9.512268066
333.95,9.374298096
334,9.279762268
334.05,9.231216431
334.1,9.218437195
334.15,9.108573914
334.2,9.003822327
334.25,8.975715637
334.3,9.037033081
334.35,9.072807312
334.4,9.021705627
334.45,8.962944031
334.5,8.993598938
334.55,9.075363159
334.6,9.057472229
334.65,8.965492249
334.7,8.957832336
334.75,9.042144775
334.8,9.090690613
334.85,9.070251465
334.9,8.962944031
334.95,8.924613953
335,8.957832336
335.05,8.975715637
335.1,8.9271698
335.15,8.896507263
335.2,8.97315979
335.25,9.067695618
335.3,9.123908997
335.35,9.098358154
335.4,9.116241455
335.45,9.203109741
335.5,9.356407166
335.55,9.404953003
